id,project_is_approved
p233245,0.9134432899147212
p096795,0.9167691035863554
p236235,0.9452728220518283
p233680,0.869379361665355
p171879,0.8690191925800702
p016071,0.9444257744802229
p099906,0.9306216704784821
p200236,0.898948658338835
p129452,0.7236735786205051
p186652,0.9637102933655709
p257992,0.9239332691360267
p055177,0.6631900921871184
p069502,0.5713430966951166
p099455,0.7998715592851606
p226195,0.940522930116786
p048432,0.9764120480633337
p028074,0.9615544479062776
p188220,0.7154950584297618
p213507,0.7872343321041747
p006068,0.6691545448528643
p124112,0.9001117193411496
p190450,0.9333420023519701
p180156,0.9284971860012621
p025868,0.7324633010188386
p134875,0.8471252252676839
p169259,0.8382716308192338
p124445,0.9237463781598713
p090153,0.9000349577099198
p086796,0.8543621517203918
p101412,0.9471374224757724
p249795,0.9338641351458513
p185278,0.9067553361767569
p052706,0.886803470548719
p118380,0.9432922284591049
p258109,0.8943553674260366
p033638,0.8901820959289706
p190269,0.9231225135959636
p166424,0.9189704967038658
p128851,0.8790361091645099
p059448,0.9271890826499615
p020036,0.6925796464706562
p241422,0.935605238026742
p155492,0.8563577302044458
p062100,0.819870011970222
p159786,0.9009108104675713
p144841,0.8627984072190763
p085470,0.8411099870404173
p130095,0.6427735390780026
p047018,0.9393983428156318
p016587,0.8099619009328602
p087209,0.6138286382349682
p188130,0.9322903028122045
p101731,0.7266001304788279
p232762,0.9776487559789093
p167483,0.8860155566095332
p076351,0.8699098971079053
p185000,0.9502289147572501
p101086,0.8108097875654798
p026220,0.9629447449758032
p028685,0.6534161949700572
p069530,0.8721824248286825
p056829,0.6960306919601715
p047088,0.7907060666731656
p134783,0.7765681609584459
p033569,0.9453237462672225
p066632,0.9108701200345067
p249875,0.9623366982005463
p246378,0.8899737986786111
p088359,0.9055147769340478
p068216,0.8490016096241573
p132793,0.9512190675509786
p012075,0.9617938064174901
p034160,0.9561056434985573
p164095,0.7604330749852783
p101374,0.8424963067736566
p179164,0.7644393609102111
p144206,0.8863318097858935
p117651,0.5482346328345092
p037059,0.936575172054339
p156849,0.869532171528665
p096892,0.9368307139161405
p161212,0.5585494992105993
p099186,0.7300199893762266
p124024,0.8902544674051523
p200265,0.7903060683947158
p034357,0.9566146843974422
p177052,0.5152715382145188
p127983,0.5519913018450724
p257497,0.9420944129004211
p017783,0.9284371732792286
p036670,0.9744310209766597
p187035,0.9770414931760494
p251797,0.8896262465606989
p081183,0.9429368919101094
p211028,0.9536493707011627
p197996,0.9534371133461113
p175648,0.9620506766885059
p069955,0.9361810091298397
p126285,0.8993070904221042
p073482,0.5422584761347172
p021363,0.9237147489591574
p018483,0.9346633515787632
p120512,0.9497779122948437
p224623,0.9626022814967422
p046024,0.9403166403529084
p128133,0.923453788874624
p111612,0.9447131760376222
p216008,0.9137426511814586
p250197,0.6855275041362013
p038264,0.962831449089777
p037304,0.9234088506575641
p233182,0.8874541677350309
p187950,0.9457066861832994
p194163,0.8793429252761876
p123572,0.8340817434348616
p213676,0.46739667151400655
p242177,0.963982776346097
p228376,0.8968036738218684
p098358,0.8084792253738657
p208182,0.901576021514898
p192069,0.9311640165398043
p125208,0.920675264488246
p068618,0.7018275739213924
p250399,0.8619603635214403
p096146,0.9555260347508278
p014072,0.7977211773690764
p170811,0.7971018873511103
p016865,0.5974940540320498
p000502,0.9522362175473575
p243659,0.9385226536817475
p123641,0.927083134815144
p179222,0.9380604438917967
p119669,0.9124552103316282
p224232,0.9367645655460001
p113196,0.814139419080527
p197404,0.8870966598087757
p040348,0.8843546403803381
p220547,0.9241550299199963
p152772,0.7562792712386408
p227843,0.960408312668524
p243822,0.9058819421786578
p042663,0.8361554243591659
p103616,0.9091939430489235
p119315,0.8889080765125339
p112683,0.8701966802464299
p134225,0.6371702549402117
p178686,0.7345395730872688
p104414,0.8022611279155126
p196430,0.8660178966214381
p121265,0.9561083842468716
p002111,0.9198141822572282
p048656,0.9001263566320744
p100742,0.914085195718925
p240945,0.889882955951172
p196948,0.7781431253565452
p161397,0.9487120893599053
p085333,0.6015281583543294
p051174,0.8819614672915492
p226030,0.8688171892543329
p200031,0.9437630335089889
p099283,0.7170958903281003
p012888,0.9485647609366872
p213138,0.7102207399118556
p259594,0.935715386095441
p169939,0.7020094984660051
p189829,0.8756703131551753
p180698,0.9677447455943397
p041111,0.9012649454134606
p108577,0.9503187070629479
p024499,0.7050252241010819
p009156,0.9189378410211183
p154797,0.7900823558953526
p019957,0.9250127952083971
p137043,0.9736543449584191
p183936,0.9167393228430017
p143641,0.772992468685875
p201920,0.5465659779632394
p169193,0.9029692401521506
p215466,0.8669846926071602
p124527,0.7009476115490194
p241030,0.8758821717383174
p252968,0.9109526035111363
p090991,0.5744690429893184
p138331,0.939995487915006
p199355,0.9404087544415469
p084300,0.9384169484056473
p096238,0.7560403251573675
p081530,0.8960896755317491
p178898,0.9190177530114175
p177763,0.917150858859838
p175360,0.9946447237481119
p218759,0.9273343833920321
p225010,0.9290982445384586
p015130,0.8449680707976484
p161752,0.6950215440282912
p152538,0.9148121765854694
p237080,0.9433874901205886
p199291,0.9459736232212766
p136751,0.958544643677879
p108958,0.9604228669922324
p110542,0.9104739535398465
p043509,0.9070707191354566
p251751,0.8254070828564377
p241189,0.9578557327197524
p194788,0.884895744837978
p175510,0.8917928440581078
p113659,0.9130662331643318
p038018,0.8284036456407824
p109620,0.9270353184777579
p198992,0.8686287805840579
p001237,0.8077644906768573
p156569,0.6109789264034737
p183302,0.744340899753991
p068100,0.6847750874316129
p013384,0.8760237943001743
p189300,0.47902000381151966
p185448,0.9639659779762673
p140668,0.708752908739327
p070387,0.8530840452534814
