id,project_is_approved
p233245,0.768
p096795,0.737
p236235,0.776
p233680,0.721
p171879,0.72
p016071,0.758
p099906,0.767
p200236,0.753
p129452,0.6514
p186652,0.782
p257992,0.7686
p055177,0.6484
p069502,0.5454
p099455,0.7295
p226195,0.775
p048432,0.7896
p028074,0.789
p188220,0.645
p213507,0.683
p006068,0.5933
p124112,0.7656
p190450,0.7783
p180156,0.7695
p025868,0.662
p134875,0.722
p169259,0.7314
p124445,0.759
p090153,0.766
p086796,0.7446
p101412,0.772
p249795,0.768
p185278,0.736
p052706,0.737
p118380,0.7705
p258109,0.7617
p033638,0.7373
p190269,0.772
p166424,0.7275
p128851,0.7515
p059448,0.7666
p020036,0.5903
p241422,0.761
p155492,0.7124
p062100,0.708
p159786,0.748
p144841,0.728
p085470,0.702
p130095,0.5938
p047018,0.7617
p016587,0.6973
p087209,0.5884
p188130,0.7607
p101731,0.632
p232762,0.797
p167483,0.7256
p076351,0.71
p185000,0.785
p101086,0.7197
p026220,0.782
p028685,0.667
p069530,0.741
p056829,0.6416
p047088,0.7173
p134783,0.67
p033569,0.7744
p066632,0.7334
p249875,0.79
p246378,0.731
p088359,0.7603
p068216,0.72
p132793,0.776
p012075,0.7876
p034160,0.7866
p164095,0.669
p101374,0.698
p179164,0.675
p144206,0.7593
p117651,0.5874
p037059,0.772
p156849,0.743
p096892,0.7583
p161212,0.542
p099186,0.628
p124024,0.717
p200265,0.714
p034357,0.7773
p177052,0.541
p127983,0.553
p257497,0.78
p017783,0.7446
p036670,0.792
p187035,0.7876
p251797,0.757
p081183,0.7876
p211028,0.7627
p197996,0.788
p175648,0.7686
p069955,0.7656
p126285,0.7397
p073482,0.5283
p021363,0.755
p018483,0.768
p120512,0.763
p224623,0.778
p046024,0.788
p128133,0.7324
p111612,0.7734
p216008,0.7603
p250197,0.6143
p038264,0.789
p037304,0.7617
p233182,0.736
p187950,0.7764
p194163,0.718
p123572,0.7114
p213676,0.4966
p242177,0.786
p228376,0.7373
p098358,0.712
p208182,0.732
p192069,0.759
p125208,0.7705
p068618,0.642
p250399,0.714
p096146,0.789
p014072,0.6694
p170811,0.6924
p016865,0.563
p000502,0.7783
p243659,0.7646
p123641,0.7666
p179222,0.7637
p119669,0.7583
p224232,0.782
p113196,0.7056
p197404,0.766
p040348,0.753
p220547,0.7476
p152772,0.682
p227843,0.784
p243822,0.736
p042663,0.718
p103616,0.7476
p119315,0.744
p112683,0.7593
p134225,0.5586
p178686,0.6235
p104414,0.646
p196430,0.7275
p121265,0.779
p002111,0.7695
p048656,0.7563
p100742,0.736
p240945,0.7476
p196948,0.689
p161397,0.7686
p085333,0.57
p051174,0.745
p226030,0.714
p200031,0.767
p099283,0.6533
p012888,0.782
p213138,0.605
p259594,0.775
p169939,0.638
p189829,0.7173
p180698,0.7725
p041111,0.747
p108577,0.7524
p024499,0.65
p009156,0.7554
p154797,0.677
p019957,0.7515
p137043,0.792
p183936,0.7812
p143641,0.634
p201920,0.594
p169193,0.743
p215466,0.7285
p124527,0.628
p241030,0.706
p252968,0.7217
p090991,0.6675
p138331,0.762
p199355,0.768
p084300,0.7666
p096238,0.6743
p081530,0.7515
p178898,0.768
p177763,0.7627
p175360,0.8154
p218759,0.7427
p225010,0.7617
p015130,0.732
p161752,0.644
p152538,0.758
p237080,0.762
p199291,0.7773
p136751,0.7812
p108958,0.7812
p110542,0.743
p043509,0.7407
p251751,0.6875
