id,project_is_approved
p233245,0.828
p096795,0.7856
p236235,0.835
p233680,0.7754
p171879,0.771
p016071,0.8125
p099906,0.833
p200236,0.802
p129452,0.6626
p186652,0.857
p257992,0.8213
p055177,0.69
p069502,0.5605
p099455,0.75
p226195,0.835
p048432,0.862
p028074,0.8604
p188220,0.6494
p213507,0.7246
p006068,0.608
p124112,0.8345
p190450,0.849
p180156,0.822
p025868,0.673
p134875,0.7583
p169259,0.7803
p124445,0.811
p090153,0.807
p086796,0.7837
p101412,0.827
p249795,0.819
p185278,0.7793
p052706,0.7856
p118380,0.832
p258109,0.833
p033638,0.78
p190269,0.8174
p166424,0.771
p128851,0.8076
p059448,0.8267
p020036,0.589
p241422,0.8267
p155492,0.7637
p062100,0.7334
p159786,0.7812
p144841,0.7886
p085470,0.734
p130095,0.5967
p047018,0.802
p016587,0.733
p087209,0.6006
p188130,0.81
p101731,0.647
p232762,0.874
p167483,0.769
p076351,0.7397
p185000,0.8525
p101086,0.7295
p026220,0.8564
p028685,0.654
p069530,0.785
p056829,0.667
p047088,0.7607
p134783,0.7114
p033569,0.827
p066632,0.7725
p249875,0.8564
p246378,0.7803
p088359,0.8228
p068216,0.755
p132793,0.823
p012075,0.8594
p034160,0.8594
p164095,0.704
p101374,0.7236
p179164,0.7188
p144206,0.8115
p117651,0.6274
p037059,0.8164
p156849,0.7666
p096892,0.8076
p161212,0.5156
p099186,0.634
p124024,0.7515
p200265,0.7437
p034357,0.8345
p177052,0.5405
p127983,0.587
p257497,0.839
p017783,0.807
p036670,0.875
p187035,0.8516
p251797,0.8096
p081183,0.8477
p211028,0.823
p197996,0.8545
p175648,0.8213
p069955,0.8228
p126285,0.7754
p073482,0.5547
p021363,0.7983
p018483,0.824
p120512,0.8423
p224623,0.845
p046024,0.8604
p128133,0.7397
p111612,0.84
p216008,0.806
p250197,0.616
p038264,0.8545
p037304,0.8037
p233182,0.7773
p187950,0.8413
p194163,0.7754
p123572,0.7515
p213676,0.484
p242177,0.854
p228376,0.801
p098358,0.7744
p208182,0.8
p192069,0.8022
p125208,0.8345
p068618,0.6343
p250399,0.7373
p096146,0.857
p014072,0.671
p170811,0.7207
p016865,0.562
p000502,0.8594
p243659,0.8125
p123641,0.828
p179222,0.8164
p119669,0.8257
p224232,0.8467
p113196,0.736
p197404,0.832
p040348,0.8022
p220547,0.7837
p152772,0.673
p227843,0.846
p243822,0.773
p042663,0.7397
p103616,0.7993
p119315,0.793
p112683,0.8096
p134225,0.5493
p178686,0.642
p104414,0.7
p196430,0.7656
p121265,0.836
p002111,0.8203
p048656,0.7964
p100742,0.7617
p240945,0.7993
p196948,0.7427
p161397,0.843
p085333,0.5947
p051174,0.795
p226030,0.7783
p200031,0.832
p099283,0.6636
p012888,0.8516
p213138,0.624
p259594,0.843
p169939,0.6743
p189829,0.7607
p180698,0.8267
p041111,0.7925
p108577,0.8096
p024499,0.667
p009156,0.8076
p154797,0.675
p019957,0.791
p137043,0.8647
p183936,0.8447
p143641,0.682
p201920,0.5957
p169193,0.777
p215466,0.7793
p124527,0.6416
p241030,0.749
p252968,0.784
p090991,0.665
p138331,0.8193
p199355,0.8115
p084300,0.818
p096238,0.6924
p081530,0.8115
p178898,0.8296
p177763,0.806
p175360,0.917
p218759,0.7793
p225010,0.811
p015130,0.761
p161752,0.675
p152538,0.824
p237080,0.818
p199291,0.8345
p136751,0.836
p108958,0.8423
p110542,0.8076
p043509,0.786
p251751,0.697
p241189,0.862
p194788,0.786
p175510,0.788
p113659,0.7783
p038018,0.6924
p109620,0.8086
p198992,0.76
p001237,0.657
p156569,0.5796
p183302,0.6826
p068100,0.632
p013384,0.782
p189300,0.51
p185448,0.824
p140668,0.7085
p070387,0.7446
p033345,0.828
p049875,0.8037
p112795,0.785
p042765,0.8257
p183727,0.833
p258333,0.862
p164654,0.7866
p111121,0.8594
p007364,0.8164
p235281,0.5806
p184766,0.8164
p118290,0.7603
p134315,0.7085
p008931,0.79
p193216,0.8164
p099504,0.779
p185939,0.7095
p212541,0.833
p057050,0.725
p235964,0.702
p019799,0.8213
p226343,0.7603
p247942,0.8555
p034876,0.8735
p127034,0.7056
p122910,0.794
p112781,0.6807
p167054,0.854
